N , INSTANCE , # UDC , # COMBINATIONS , # OUTGOING LINKS , MAX # PARALLEL ACTIVITIES , AVG # PARALLEL ACTIVITIES , # DOUBLE LINKS , NPV , MAX MEMORY (ABSOLUTE) , MAX MEMORY (1) , MAX MEMORY (2) , AVG MEMORY , MAX # UDC IN MEMORY , AVG # UDC IN MEMORY , UDC CPU TIME , NPV CPU TIME , NPV (ENU) , CPU TIME (ENU) 
20, 98, 19, 481, 27, 4, 2.68421, 0, NA, 0.00366974, 0.000953674, 0.000953674 , 0.0005759, 2, 0.632017, 0.005, NA, NA, NA
30, 250, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.007, 6.86, NA, NA
30, 250, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.052, 23.915, NA, NA
30, 250, 4, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.009, 7.421, NA, NA
30, 251, 4, 98, 1696545, 391, 12, 7.96939, 0, 123.289, 12.9436, 5.73609, 5.73609 , 3.38442, 35, 13.7495, 0.012, 11.951, NA, NA

30, 250, 4, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.007, 6.965, NA, NA
30, 250, 1, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.01, 9.842, NA, NA
30, 251, 1, 98, 1696545, 391, 12, 7.96939, 0, 123.289, 12.9436, 5.73609, 5.73609 , 3.38442, 35, 13.7495, 0.011, 16.351, NA, NA
30, 250, 2, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.006, 7.856, NA, NA
30, 251, 2, 98, 1696545, 391, 12, 7.96939, 0, 123.289, 12.9436, 5.73609, 5.73609 , 3.38442, 35, 13.7495, 0.008, 14.463, NA, NA
30, 250, 4, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.006, 8.9, NA, NA
30, 251, 4, 98, 1696545, 391, 12, 7.96939, 0, 123.289, 12.9436, 5.73609, 5.73609 , 3.38442, 35, 13.7495, 0.012, 13.154, NA, NA
30, 252, 4, 105, 1473681, 498, 11, 8.42857, 0, 510.457, 11.2433, 4.41961, 4.41961 , 2.57736, 53, 25.9479, 0.01, 8.651, NA, NA
30, 253, 4, 100, 1406889, 492, 10, 8.88, 0, 347.596, 10.7337, 4.40125, 4.40125 , 2.19249, 47, 16.9419, 0.006, 6.539, NA, NA
30, 254, 4, 96, 1413585, 467, 11, 8.42708, 0, 131.456, 10.7848, 4.61095, 4.61095 , 2.54254, 41, 22.5574, 0.009, 8.304, NA, NA
30, 250, 4, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.007, 6.724, NA, NA
30, 251, 4, 98, 1696545, 391, 12, 7.96939, 0, 123.289, 12.9436, 5.73609, 5.73609 , 3.38442, 35, 13.7495, 0.01, 11.079, NA, NA
30, 250, 4, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.007, 6.965, NA, NA
30, 250, 4, 96, 1277289, 411, 11, 8.42708, 0, 241.065, 9.74494, 4.29455, 4.29455 , 2.35278, 35, 18.5506, 0.006, 6.712, NA, NA
